[22:56:37] [main/INFO] [LaunchWrapper]: Loading tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[22:56:37] [main/INFO] [LaunchWrapper]: Using primary tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[22:56:37] [main/INFO] [LaunchWrapper]: Calling tweak class net.minecraftforge.fml.common.launcher.FMLServerTweaker
[22:56:37] [main/DEBUG] [FML]: Injecting tracing printstreams for STDOUT/STDERR.
[22:56:37] [main/INFO] [FML]: Forge Mod Loader version 14.23.5.2860 for Minecraft 1.12.2 loading
[22:56:37] [main/INFO] [FML]: Java is Java HotSpot(TM) 64-Bit Server VM, version 1.8.0_202, running on Windows 10:amd64:10.0, installed at C:\Program Files\Java\jre1.8.0_202
[22:56:37] [main/DEBUG] [FML]: Java classpath at launch is:
[22:56:37] [main/DEBUG] [FML]:     forge-1.12.2-14.23.5.2860.jar
[22:56:37] [main/DEBUG] [FML]: Java library path at launch is:
[22:56:37] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[22:56:37] [main/DEBUG] [FML]:     C:\Windows\Sun\Java\bin
[22:56:37] [main/DEBUG] [FML]:     C:\Windows\system32
[22:56:37] [main/DEBUG] [FML]:     C:\Windows
[22:56:37] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[22:56:37] [main/DEBUG] [FML]:     C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common
[22:56:37] [main/DEBUG] [FML]:     C:\Windows\system32
[22:56:37] [main/DEBUG] [FML]:     C:\Windows
[22:56:37] [main/DEBUG] [FML]:     C:\Windows\System32\Wbem
[22:56:37] [main/DEBUG] [FML]:     C:\Windows\System32\WindowsPowerShell\v1.0\
[22:56:37] [main/DEBUG] [FML]:     C:\Windows\System32\OpenSSH\
[22:56:37] [main/DEBUG] [FML]:     C:\Program Files\Git\cmd
[22:56:37] [main/DEBUG] [FML]:     C:\Users\frank\AppData\Local\Programs\Python\Python312\Scripts\
[22:56:37] [main/DEBUG] [FML]:     C:\Users\frank\AppData\Local\Programs\Python\Python312\
[22:56:37] [main/DEBUG] [FML]:     C:\Users\frank\AppData\Local\Microsoft\WindowsApps
[22:56:37] [main/DEBUG] [FML]:     C:\Users\frank\AppData\Local\Programs\Microsoft VS Code\bin
[22:56:37] [main/DEBUG] [FML]: Examining file: antiqueatlas-1.12.2-4.6.3.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: antiquecities-1.2.1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: anvilpatch-1.1.1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: Aquaculture-1.12.2-1.6.8.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: architectury-9.2.14-forge.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: armorunder-mc1.12.2-1.0.0.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: ascended_quark-1.20.1-1.0.4.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: ash_api-forge-3.0.2+1.20.1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: astikorcarts-1.12.2-0.1.2.8.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: athena-forge-1.20.1-3.1.2.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: AttributeFix-Forge-1.12.2-1.0.12.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: AutochefsDelight-1.20.1-Forge-1.0.5.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: AutoRegLib-1.3-32.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: azurelib-neo-1.20.1-2.0.39.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: backpacked-forge-1.20.1-3.0.0-beta.9.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: balm-forge-1.20.1-7.3.9-all.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BarteringStation-v8.0.0-1.20.1-Forge.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: base-1.12.2-3.14.0.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BattleTowers-1.12.2.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: Baubles-1.12-1.5.2.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: bclib-3.0.14.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BedBreakBegone-1.0.2.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: better-end-4.0.11.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: better-nether-9.0.10.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: betterbiomeblend-1.12.2-1.1.7-forge.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: bettercaves-1.12.2-2.0.4.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: betterend-crashed-ships-1.0.0.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: betterfpsdist-1.20.1-6.0.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BetterMineshaftsForge-1.12.2-2.2.1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: betternether-0.1.8.6.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BetterQuesting-3.5.329.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BetterTabs-1.0.4.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: better_survival-1.5.4.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BHMenu-Forge-1.12.2-2.4.3.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: biomemusic-1.20.1-2.5.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BiomesOPlenty-forge-1.20.1-19.0.0.91.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BlockOverlayFix-1.12.2-1.0.0.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: Bloodmoon-MC1.12.2-1.5.3.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: blossom.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: blueprint-1.20.1-7.1.0.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: blueprintfix-forge-1.0.0-1.20.1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: blue_skies-1.20.1-1.3.31.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BNBGamingLib-1.12.2-2.17.6.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BoatBreakFix-Universal-1.0.2.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: boatload-1.20.1-5.0.1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: Bookshelf-Forge-1.20.1-20.2.13.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: Born In A Barn 1.8-1.12-1.2.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: Bountiful Baubles-1.12.2-0.1.8.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: Bountiful-1.12.2-2.2.3.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: Bountiful-6.0.3+1.20.1-forge.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BQTweaker-1.3.5.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: BQ_Multiblock_Structure_Integration-1.0.9.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: bygonenether-1.3.2-1.20.x.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: caelus-forge-3.2.0+1.20.1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: callablehorses-1.12.2-1.1.1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: carrotslib-mc1.12.2-1.0.0b1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: carryon-1.12.2-1.12.7.23.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: carryon-forge-1.20.1-2.1.2.7.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: CD4017BE_lib-1.12.2-6.5.1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: champions-1.12.2-1.0.11.10.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: Charm-1.12.2-1.4.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: charmofundying-forge-6.5.0+1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: chefs-delight-1.0.3-forge-1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: chipped-forge-1.20.1-3.0.7.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ChunkAnimator-1.12.2-1.2.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: chunksending-1.20.1-2.8.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: citadel-2.6.0-1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: classyhats-1.6.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: clientcrafting-1.20.1-1.8.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: cloth-config-11.1.136-forge.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Clumps-forge-1.20.1-12.0.0.4.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: collective-1.20.1-7.87.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: CollisionDamage-1.2.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: comforts-1.12.2-1.4.1.3.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: comforts-forge-6.4.0+1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: CompatSkills-1.12.2-1.17.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ConfiguredDefaults-v8.0.1-1.20.1-Forge.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: connectivity-1.20.1-5.6.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Connector-1.0.0-beta.46+1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ConnectorExtras-1.11.2+1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ContentCreator-1.3.7-fix2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ContentTweaker-1.12.2-4.10.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: continuity-3.0.0-beta.5+1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Controlling-3.0.12.4.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: CoralReef-2.5-1.12.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: coroutil-forge-1.20.1-1.3.7.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: corpse-forge-1.20.1-1.0.17.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: corpsecomplex-1.12.2-1.0.12.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: CrabbersDelight-1.20.1-1.1.7c.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: craftablechainmail-1.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: CraftTweaker2-1.12-4.1.20.700.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: crafttweakerutils-0.7.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: crashexploitfixer-forge-1.1.0+1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: crawlondemand-1.20.x-1.0.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: CreativeCore_v1.10.71_mc1.12.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: cristellib-1.1.5-forge.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ctintegration-1.8.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: cupboard-1.20.1-2.7.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: curios-forge-5.11.0+1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: CutThrough-v8.0.2-1.20.1-Forge.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: decorative_blocks-forge-1.20.1-4.1.3.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: deeperdarker-forge-1.20.1-1.3.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: deep_aether-1.20.1-1.0.4.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: defiledlands-1.12.2-1.4.3.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Delightful-1.20.1-3.6.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: despawn_tweaker-1.20.1-1.0.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: deuf-1.20.1-1.3.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: DiagonalFences-v8.1.4-1.20.1-Forge.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: dimensionalsycnfixes-1.20.1-0.0.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: disenchanter[1.12]1.8.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: DoomlikeDungeons-1.14.12-MC1.12.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: dragonmounts-1.20.1-1.2.3-beta.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: dragon_mounts_patches-1.0.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: DregoraRL-2.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: dtkupd-1.3-forge-1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: DungeonsArise-1.20.x-2.1.58-release.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: DynamicSurroundings-1.12.2-3.6.2.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: DynamicSurroundingsHuds-1.12.2-3.6.0.0.jar
[22:56:38] [main/DEBUG] [FML]: Making maven link for org.orecruncher:DynamicSurroundingsHuds:1.12.2-3.6.0.0 in memory to C:\Users\frank\OneDrive\Desktop\mc-server-share-mod1\server1.20.4\.\mods\DynamicSurroundingsHuds-1.12.2-3.6.0.0.jar.
[22:56:38] [main/DEBUG] [FML]: Examining file: DynamicTrees-1.12.2-0.9.29.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: DynamicTreesBOP-1.12.2-1.5.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: dynamictreesdefiledlands-1.12.2-1.0.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: DynamicTreesTraverse-1.12.2-2.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: EasyAnvils-v8.0.2-1.20.1-Forge.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: EasyMagic-v8.0.1-1.20.1-Forge.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: EditableEdibles-1.3.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Eldritch_End-FORGE-MC1.20.1-0.3.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ElenaiDodge-1.12.2-2.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: elevatorid-1.20.1-lex-1.9.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: elytraslot-forge-6.4.4+1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: EnchantmentDescriptions-1.12.2-1.1.20.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: endersdelight-1.20.1-1.0.3.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: EnhancedVisuals_v1.4.4_mc1.12.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: EntityCulling-1.12.2-6.4.3.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: EpheroLib-1.20.1-FORGE-1.2.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: EpicSiegeMod-13.167.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: everycomp-1.20-2.6.87.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: explorations-forge-1.20.1-1.6.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: extra_compat-1.5.22.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: fabric-api-0.92.2+1.11.8+1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: FallingTree-1.20.1-4.3.4.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: FamiliarFauna-1.12.2-1.0.11.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: FancyBlockParticles-1.12.x-2.4.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: fancymenu_forge_2.14.9_MC_1.12-1.12.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: FantasticLib-1.12.2.047.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: FarmersDelight-1.20.1-1.2.4.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: FarmersStructures-1.0.3-1.20.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: fastasyncworldsave-1.20.1-2.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: fasterrandom-5.1.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: fastpaintings-1.20-1.2.7.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Feature-Recycler-forge-1.0.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: fermiumasm-5.23.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ferritecore-6.0.1-forge.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: firstaid-1.6.22.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Fish's Undead Rising-1.4.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: FishingMadeBetter-1.12.2-2.2.6.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: flib-1.20.1-0.0.14.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: foamfix-0.10.15-1.12.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: FoodExpansion1.3.3-1.12.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ForgeConfigScreens-v8.0.2-1.20.1-Forge.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ForgeEndertech-1.12.2-4.5.6.1-build.0648.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Forgelin-1.8.4.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: forgottenitems-1.12.2-1.3.1.4.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: formations-1.0.2a-forge-mc1.20.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: formationsnether-1.0.5.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: formationsoverworld-1.0.4.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: framevoidpatch-1.0.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: framework-forge-1.20.1-0.7.11.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: FriendlyEndermite_v1.0.1_mc1.12.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: friendsandfoes-forge-mc1.20.1-3.0.5.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ftb-library-forge-2001.2.4.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ftb-quests-forge-2001.4.9.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ftb-teams-forge-2001.3.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ftb-xmod-compat-forge-2.1.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: ftbquestsfreezefix-forge-1.0.0-1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: fxcontrol-1.12-0.1.15.jar
[22:56:38] [main/DEBUG] [FML]: Found existing ContainedDep META-INF/libraries/mcjtytools-1.12-0.0.21.jar(com.github.mcjty:mcjtytools:0.0.21) from C:\Users\frank\OneDrive\Desktop\mc-server-share-mod1\server1.20.4\mods\memory_repo\com\github\mcjty\mcjtytools\0.0.21\mcjtytools-0.0.21.jar extracted to .\mods\fxcontrol-1.12-0.1.15.jar, skipping extraction
[22:56:38] [main/DEBUG] [FML]: Examining file: mcjtytools-0.0.21.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Galosphere-1.20.1-1.4.1-Forge.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: gardens-of-the-dead-forge-4.0.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: geckolib-forge-1.20.1-4.4.9.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: GeckoLibOculusCompat-Forge-1.0.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Geophilic v3.1.4 f15-57.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: GeophilicReforged-v1.2.0.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: GlitchCore-forge-1.20.1-0.0.1.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: GlobalGameRules-1.12.2-2.2.7.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: goblintraders-forge-1.20.1-1.9.3.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: GooglyEyes-1.12.2-7.1.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: grapplemod-1.12.2-v12.3.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Grass_Overhaul-Forge-23.10.10-MC1.20.1.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: guardvillagers-1.20.1-1.6.7.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: handcrafted-forge-1.20.1-3.0.6.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Hearths v1.0.1 f12-48.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: hearth_and_home-forge-1.20.1-2.0.3.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: HelpFixer-1.12.1-1.5.18.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Highlighter-1.20.1-forge-1.1.9.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Ice and Fire-2.0.5.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Iceberg-1.20.1-forge-1.1.25.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: iChunUtil-1.12.2-7.2.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: IllagerInvasion-v8.0.6-1.20.1-Forge.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: incontrol-1.12-3.9.18.jar
[22:56:38] [main/DEBUG] [FML]: Found existing ContainedDep META-INF/libraries/mcjtytools-1.12-0.0.21.jar(com.github.mcjty:mcjtytools:0.0.21) from C:\Users\frank\OneDrive\Desktop\mc-server-share-mod1\server1.20.4\mods\memory_repo\com\github\mcjty\mcjtytools\0.0.21\mcjtytools-0.0.21.jar extracted to .\mods\incontrol-1.12-3.9.18.jar, skipping extraction
[22:56:38] [main/DEBUG] [FML]: File already proccessed C:\Users\frank\OneDrive\Desktop\mc-server-share-mod1\server1.20.4\.\mods\memory_repo\com\github\mcjty\mcjtytools\0.0.21\mcjtytools-0.0.21.jar, Skipping
[22:56:38] [main/DEBUG] [FML]: Examining file: incubation-1.20.1-4.0.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: InfernalMobs-1.12.2.jar
[22:56:38] [main/DEBUG] [FML]: Examining file: Inspirations-1.12.2-0.2.9.jar
